NODE,실제 명칭,origin_label,address,x_5186,y_5186,Type
0,파주시,42_파주시,경기 파주시 장단면 노상리 2-1,176391.367823,588074.16573,VERTIPORT
1,강화군,41_강화군,인천 강화군 교동면 대룡리 1106-6,135903.289126,576003.507112,VERTIPORT
5,종로구,02_종로구,서울 종로구 세종로 1-68,197957.31061,552571.689172,DEPOT
6,가평군,30_가평군,경기도 가평군 상면 수목원로 432,231071.336588,571638.911525,VERTIPORT
9,파주시,43_파주시_1,경기 파주시 송촌동 913-1,173311.957479,572237.453874,VERTIPORT
10,천안시,27_천안시,충청남도 천안시 서북구 공원로 227,209345.777,466885.005,VERTIPORT
11,화성시,01_화성시,경기 화성시 만세구 마도면 고모리 474-4,177103.034357,508033.989861,VERTIPORT
12,중구,09_중구,서울 중구 명동2가 1-17,198800.644691,551624.730366,DEPOT
14,여주시,50_여주시,경기도 여주시 명품로 360,254160.512,516437.414,DEPOT
15,용산구,13_용산구,서울 용산구 한강로2가 412,197571.82104,548121.715015,VERTIPORT
18,이천시,49_이천시,경기 이천시 호법면 유산리 354-4,239103.348137,516538.965607,VERTIPORT
19,평택시,24_평택시,경기 평택시 지제동 103-1,206105.805829,490589.956485,VERTIPORT
