vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,total_score,skip_penalty
0,0,16,인천공항,0,153075.6707,541547.3793,0,36_중구,16.623444,96152820
0,1,3,연수구,18065,168552.3013,532230.2936,18065,37_연수구,33.380161,52148235
0,2,2,수원시,54595,202968.1437,519982.3305,36530,17_수원시,37.701362,40800389
0,3,8,성남시,68207,209472.627,531939.2443,13612,16_성남시,27.157394,68489759
0,4,4,강남구,83366,203845.5946,546015.1392,15159,28_강남구,29.155613,63242263
0,5,13,영등포구,94148,193109.1128,547009.6723,10782,04_영등포구,18.858989,90282086
0,6,17,김포공항,105055,182785.0721,550528.4098,10907,40_강서구,16.379039,96794649
0,7,7,고양시,118517,177702.4519,562993.9034,13462,44_고양시,27.427037,67781653
0,8,20,중구,142201,166360.5186,542202.2826,23684,38_중구_1,15.158458,100000000
0,9,16,인천공항,155502,153075.6707,541547.3793,13301,36_중구,16.623444,96152820
