NODE,실제 명칭,origin_label,address,x_5186,y_5186,Type
0,파주시,42_파주시,경기 파주시 장단면 노상리 2-1,176391.367823,588074.16573,VERTIPORT
1,강화군,41_강화군,인천 강화군 교동면 대룡리 1106-6,135903.289126,576003.507112,VERTIPORT
2,수원시,17_수원시,경기도 수원시 팔달구 권광로 373,202968.143734,519982.330533,VERTIPORT
3,연수구,37_연수구,인천 연수구 송도동 6-10,168552.301301,532230.29358,VERTIPORT
4,강남구,28_강남구,서울 강남구 삼성동 34-11,203845.594625,546015.139233,DEPOT
5,종로구,02_종로구,서울 종로구 세종로 1-68,197957.31061,552571.689172,DEPOT
6,가평군,30_가평군,경기도 가평군 상면 수목원로 432,231071.336588,571638.911525,VERTIPORT
7,고양시,44_고양시,경기도 고양시 일산서구 킨텍스로 217-6,177702.451859,562993.90337,VERTIPORT
8,성남시,16_성남시,경기 성남시 분당구 백현동 523,209472.627027,531939.244289,VERTIPORT
9,파주시,43_파주시_1,경기 파주시 송촌동 913-1,173311.957479,572237.453874,VERTIPORT
10,천안시,27_천안시,충청남도 천안시 서북구 공원로 227,209345.777,466885.005,VERTIPORT
11,화성시,01_화성시,경기 화성시 만세구 마도면 고모리 474-4,177103.034357,508033.989861,VERTIPORT
12,중구,09_중구,서울 중구 명동2가 1-17,198800.644691,551624.730366,DEPOT
13,영등포구,04_영등포구,서울특별시 영등포구 의사당대로 82,193109.112775,547009.672338,VERTIPORT
14,여주시,50_여주시,경기도 여주시 명품로 360,254160.512,516437.414,DEPOT
15,용산구,13_용산구,서울 용산구 한강로2가 412,197571.82104,548121.715015,VERTIPORT
16,인천공항,36_중구,인천 중구 운서동 2859-8,153075.670701,541547.379332,DEPOT
17,김포공항,40_강서구,서울 강서구 공항동 1372,182785.072139,550528.409797,DEPOT
18,이천시,49_이천시,경기 이천시 호법면 유산리 354-4,239103.348137,516538.965607,VERTIPORT
19,평택시,24_평택시,경기 평택시 지제동 103-1,206105.805829,490589.956485,VERTIPORT
20,중구,38_중구_1,인천 중구 송월동3가 17-1,166360.5186,542202.2826,VERTIPORT
