vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label
0,0,16,인천공항,0,153075.670701,541547.379332,0,36_중구
0,1,3,연수구,18065,168552.301301,532230.29358,18065,37_연수구
0,2,2,수원시,54595,202968.143734,519982.330533,36530,17_수원시
0,3,8,성남시,68207,209472.627027,531939.244289,13612,16_성남시
0,4,4,강남구,83366,203845.594625,546015.139233,15159,28_강남구
0,5,13,영등포구,94148,193109.112775,547009.672338,10782,04_영등포구
0,6,17,김포공항,105055,182785.072139,550528.409797,10907,40_강서구
0,7,7,고양시,118517,177702.451859,562993.90337,13462,44_고양시
0,8,20,중구,142201,166360.5186,542202.2826,23684,38_중구_1
0,9,16,인천공항,155502,153075.670701,541547.379332,13301,36_중구
