권역,지역,관광지명,대표주소,대표지점 기준,5186_X좌표,5186_Y좌표,4326_X좌표,4326_Y좌표
수도권,서울,5대 고궁,서울특별시 종로구 사직로 161,경복궁 기준,198004.88827786443,553068.1348287055,126.97741409610275,37.57715960084151
수도권,서울,N서울타워,서울특별시 용산구 남산공원길 105,N서울타워 기준,198927.61767350277,550177.919412831,126.98786419067794,37.55112040343265
수도권,서울,광화문광장 & 청계광장,서울특별시 종로구 세종대로 172,광화문광장 기준,197949.13567653776,552453.5998465978,126.9767846609721,37.57162255094642
수도권,서울,국립중앙박물관,서울특별시 용산구 서빙고로 137,국립중앙박물관 기준,198031.8583945088,547245.0190939369,126.97773502714243,37.52469348691723
수도권,서울,서울스카이 & 롯데월드 & 석촌호수,서울특별시 송파구 올림픽로 300,서울스카이·롯데월드타워 기준,209009.10057808284,545942.8254342503,127.10190112175826,37.51291882330463
수도권,서울,성수동 거리 & 서울숲,서울특별시 성동구 뚝섬로 273,서울숲 기준,203693.23100009217,549284.9046320037,127.04179062250688,37.543067578676364
수도권,서울,청와대 앞길 & 서촌마을,서울특별시 종로구 청와대로 1,청와대 기준,198015.8791995286,553822.4859829891,126.97753647822428,37.58395628121331
수도권,서울,한강공원,서울특별시 영등포구 여의동로 330,여의도한강공원 기준,194129.36794449057,547430.354173072,126.93358590620267,37.52634678526371
수도권,서울,"홍대 레드로드, 홍대문화예술관광특구",서울특별시 마포구 어울마당로 77-1,레드로드 기준,193057.7747011045,550286.7526800138,126.92143605056066,37.55207547597106
수도권,인천,개항장문화지구·인천차이나타운·송월동 동화마을,인천광역시 중구 송월동3가 17-1,송월동 동화마을 기준,166359.89683514455,542202.9409155247,126.61967431860867,37.478654057627516
수도권,인천,교동도,인천광역시 강화군 교동면 교동남로 35,대룡시장 기준,136664.48425038098,575878.119571416,126.281047951716,37.780481437909316
수도권,인천,송도 센트럴파크,인천광역시 연수구 컨벤시아대로 160,송도 센트럴파크 일대 기준,168435.6427068236,532395.4725502736,126.64356098722979,37.390362110469844
수도권,경기,아침고요수목원,경기도 가평군 상면 수목원로 432,아침고요수목원 기준,231071.33658764587,571638.9115247594,127.35253411735778,37.743953836095116
수도권,경기,서울대공원·서울랜드 & 국립현대미술관 과천 & 국립과천과학관,경기도 과천시 대공원광장로 102,서울대공원 기준,201247.11392120848,537448.269087023,127.0140916255889,37.43642513678386
수도권,경기,광명동굴,경기도 광명시 가학로85번길 142,광명동굴 기준,187963.48011054634,536228.3676818719,126.8640147347218,37.42535624790425
수도권,경기,수원화성,경기도 수원시 팔달구 정조로 825,화성행궁 기준,201282.74969622967,520328.7597893056,127.01446465440974,37.282173585094
수도권,경기,두물머리,경기도 양평군 양서면 두물머리길 145,두물머리 기준,228059.48209725643,548283.0031511374,127.31746559329848,37.53362113116746
수도권,경기,한국민속촌,경기도 용인시 기흥구 민속촌로 90,한국민속촌 기준,210856.95448685726,517790.33134263346,127.12238898739768,37.25923892808468
수도권,경기,에버랜드 & 캐리비안베이,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드 기준,218001.29293979262,521870.7328476611,127.20302450339071,37.295894110004454
수도권,경기,임진각 & 파주 DMZ,경기도 파주시 문산읍 임진각로 148-40,임진각 평화누리 기준,177509.78247200642,588163.9447466282,126.74431281835744,37.89308683239659
수도권,경기,헤이리 예술마을,경기도 파주시 탄현면 헤이리마을길 82-105,헤이리 커뮤니티센터 기준,173916.61764316732,576552.4857222952,126.70388178872483,37.78837852015458
수도권,경기,제부도 & 제부도해상케이블카,경기도 화성시 서신면 전곡항로 1-10,제부도해상케이블카 전곡정류장 기준,168928.93250520196,509479.93108466227,126.6500887307002,37.183904758252645
