vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,total_score,skip_penalty
0,0,15,용산구,0,197571.821,548121.715,0,13_용산구,17.701688,93321259
0,1,17,김포공항,14981,182785.0721,550528.4098,14981,40_강서구,16.379039,96794649
0,2,7,고양시,28443,177702.4519,562993.9034,13462,44_고양시,27.427037,67781653
0,3,20,중구,52127,166360.5186,542202.2826,23684,38_중구_1,15.158458,100000000
0,4,16,인천공항,65428,153075.6707,541547.3793,13301,36_중구,16.623444,96152820
0,5,3,연수구,83493,168552.3013,532230.2936,18065,37_연수구,33.380161,52148235
0,6,2,수원시,120023,202968.1437,519982.3305,36530,17_수원시,37.701362,40800389
0,7,8,성남시,133635,209472.627,531939.2443,13612,16_성남시,27.157394,68489759
0,8,15,용산구,153722,197571.821,548121.715,20087,13_용산구,17.701688,93321259
