rank,region_name,total_score,time_row_id,origin_id,origin_label,coord_sido_code,value_row_id,CITY_CD,CITY_NM,value_sido_code,total_car_minus_uam_moving_time_min,Company,MICE,Korea_Tourist,Shopping_Mall,total_car_minus_uam_moving_time_min_score_0_100,Company_score_0_100,MICE_score_0_100,Korea_Tourist_score_0_100,Shopping_Mall_score_0_100,total_car_minus_uam_moving_time_min_weighted_score,Company_weighted_score,MICE_weighted_score,Korea_Tourist_weighted_score,Shopping_Mall_weighted_score,time_present,value_present
1,파주시,52.857142857142854,56,42,42_파주시,31,55.0,31200.0,파주시,31,5500.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,66.66666666666666,28.57142857142857,40.0,0.0,0.0,9.999999999999998,2.857142857142857,True,True
2,강화군,45.0,55,41,41_강화군,23,34.0,23510.0,강화군,23,5500.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,33.33333333333333,0.0,40.0,0.0,0.0,4.999999999999999,0.0,True,True
3,수원시,37.70136174382994,23,17,17_수원시,31,36.0,31010.0,수원시,31,1982.033804198951,2.0,2.0,1.0,6.0,15.13252523869574,15.384615384615385,100.0,33.33333333333333,85.71428571428571,6.053010095478296,3.076923076923077,15.0,4.999999999999999,8.571428571428571,True,True
4,연수구,33.380161178630985,16,37,37_연수구,23,28.0,23040.0,연수구,23,2115.012804198951,3.0,2.0,1.0,1.0,18.34051283668735,23.076923076923077,100.0,33.33333333333333,14.285714285714285,7.33620513467494,4.615384615384616,15.0,4.999999999999999,1.4285714285714286,True,True
5,강남구,29.15561322974441,44,28,28_강남구,11,23.0,11230.0,강남구,11,1606.04271585361,6.0,1.0,0.0,7.0,6.062109997437943,46.15384615384615,50.0,0.0,100.0,2.4248439989751773,9.230769230769232,7.5,0.0,10.0,True,True
6,종로구,28.206460912784102,43,02,02_종로구,11,1.0,11010.0,종로구,11,1607.326306476661,7.0,0.0,3.0,0.0,6.0930753588833335,53.84615384615385,0.0,100.0,0.0,2.4372301435533337,10.76923076923077,0.0,15.0,0.0,True,True
7,가평군,27.73155615690267,1,30,30_가평군,31,65.0,31570.0,가평군,31,3710.451004198951,0.0,0.0,1.0,0.0,56.82889039225667,0.0,0.0,33.33333333333333,0.0,22.73155615690267,0.0,0.0,4.999999999999999,0.0,True,True
8,고양시,27.42703676052326,25,44,44_고양시,31,45.0,31100.0,고양시,31,1902.35900419895,0.0,2.0,0.0,5.0,13.210449044165292,0.0,100.0,0.0,71.42857142857143,5.284179617666117,0.0,15.0,0.0,7.142857142857143,True,True
9,성남시,27.157393821498594,40,16,16_성남시,31,37.0,31020.0,성남시,31,1652.34880419895,13.0,0.0,0.0,3.0,7.179198839460776,100.0,0.0,0.0,42.857142857142854,2.8716795357843106,20.0,0.0,0.0,4.285714285714286,True,True
10,파주시,24.94279945540408,7,43,43_파주시_1,31,55.0,31200.0,파주시,31,2607.20400419895,0.0,0.0,2.0,2.0,30.214141495653067,0.0,0.0,66.66666666666666,28.57142857142857,12.085656598261227,0.0,0.0,9.999999999999998,2.857142857142857,True,True
11,천안시,22.992576567723663,2,27,27_천안시,34,67.0,34010.0,천안시,34,3441.41180419895,0.0,0.0,0.0,2.0,50.33858427645201,0.0,0.0,0.0,28.57142857142857,20.135433710580806,0.0,0.0,0.0,2.857142857142857,True,True
12,화성시,21.452704672197186,4,01,01_화성시,31,59.0,31240.0,화성시,31,2752.28920419895,1.0,0.0,1.0,1.0,33.71417926291055,7.6923076923076925,0.0,33.33333333333333,14.285714285714285,13.48567170516422,1.5384615384615385,0.0,4.999999999999999,1.4285714285714286,True,True
13,중구,19.975360331667915,47,09,09_중구,11,2.0,11020.0,중구,11,1545.796550195937,9.0,0.0,0.0,3.0,4.608730499499453,69.23076923076923,0.0,0.0,42.857142857142854,1.8434921997997813,13.846153846153847,0.0,0.0,4.285714285714286,True,True
14,영등포구,18.85898873709994,53,04,04_영등포구,11,19.0,11190.0,영등포구,11,1413.023597952189,4.0,0.0,1.0,5.0,1.4057136009916018,30.76923076923077,0.0,33.33333333333333,71.42857142857143,0.5622854403966407,6.153846153846154,0.0,4.999999999999999,7.142857142857143,True,True
15,여주시,17.760209334912506,3,50,50_여주시,31,63.0,31280.0,여주시,31,3047.22000419895,0.0,0.0,0.0,1.0,40.829094765852695,0.0,0.0,0.0,14.285714285714285,16.33163790634108,0.0,0.0,0.0,1.4285714285714286,True,True
16,용산구,17.701687985986617,49,13,13_용산구,11,3.0,11030.0,용산구,11,1526.545997814316,3.0,0.0,2.0,1.0,4.14432985507644,23.076923076923077,0.0,66.66666666666666,14.285714285714285,1.657731942030576,4.615384615384616,0.0,9.999999999999998,1.4285714285714286,True,True
17,중구,16.62344396632199,11,36,36_중구,23,26.0,23010.0,중구,23,2399.871804198951,1.0,0.0,1.0,0.0,25.21245606965113,7.6923076923076925,0.0,33.33333333333333,0.0,10.084982427860453,1.5384615384615385,0.0,4.999999999999999,0.0,True,True
18,강서구,16.379038837624663,24,40,40_강서구,11,16.0,11160.0,강서구,11,1947.492301089393,6.0,0.0,0.0,1.0,14.299245445710005,46.15384615384615,0.0,0.0,14.285714285714285,5.719698178284002,9.230769230769232,0.0,0.0,1.4285714285714286,True,True
