clique_id,node_count,type_count,total_weight,radius_m,center_x_5186,center_y_5186,members,types,rank
40,14,3,14.0,3186.0407123018153,195096.5449836326,547964.4136141213,"에쓰-오일, 효성, SM, 국립중앙박물관, LS, HDC, HDC, IFC몰, 엘지, 더현대 서울, 한강공원, 현대백화점, HMM, 다우키움","Company, Company, Company, Korea_Tourist, Company, Company, Company, Shopping_Mall, Company, Shopping_Mall, Korea_Tourist, Company, Company, Company",14
23,14,2,14.0,2961.3978839435304,209494.4464785787,532381.3313195886,"HD 현대, 두산, 넥슨, 넥슨, AK 분당점, HD 현대, 현대 판교점, 롯데 분당점, 현대백화점, 다우키움, 한국앤컴퍼니그룹, 카카오, 카카오, 다우키움","Company, Company, Company, Company, Shopping_Mall, Company, Shopping_Mall, Shopping_Mall, Company, Company, Company, Company, Company, Company",15
47,13,3,13.0,2671.4319743249994,194013.8817020213,548627.8925646697,"에쓰-오일, 효성, SM, 현대 신촌점, 세아, 엘지, IFC몰, 현대백화점, 더현대 서울, 한강공원, 홍대 레드로드, 홍대문화예술관광특구, HMM, 다우키움","Company, Company, Company, Shopping_Mall, Company, Company, Shopping_Mall, Company, Shopping_Mall, Korea_Tourist, Korea_Tourist, Company, Company",16
19,12,4,12.0,2762.4743131794594,204263.97473532555,546960.6038372793,"포스코, DB, 현대 무역센터점, 스타필드 코엑스몰, 코엑스, COEX, 성수동 거리 & 서울숲, 갤러리아 명품관 WEST, 갤러리아 명품관 EAST, 갤러리아 명품관, 현대백화점, 현대 본점, 롯데 건대스타시티점","Company, Company, Shopping_Mall, Shopping_Mall, MICE, Korea_Tourist, Shopping_Mall, Shopping_Mall, Shopping_Mall, Company, Shopping_Mall, Shopping_Mall",17
18,12,3,12.0,3006.6475158716935,204354.7633186512,546536.5855346123,"포스코, DB, 현대 무역센터점, 스타필드 코엑스몰, 코엑스, COEX, 롯데 강남점, 롯데 건대스타시티점, 현대백화점, 갤러리아 명품관 EAST, 현대 본점, 갤러리아 명품관, 갤러리아 명품관 WEST","Company, Company, Shopping_Mall, Shopping_Mall, MICE, Shopping_Mall, Shopping_Mall, Company, Shopping_Mall, Shopping_Mall, Shopping_Mall, Shopping_Mall",18
43,12,3,12.0,3186.173054004935,196234.7795239425,550045.2178259493,"에쓰-오일, 효성, SM, 현대 신촌점, HDC, HDC, LS, 롯데 서울역점, 부영, LX, LX, 홍대 레드로드, 홍대문화예술관광특구","Company, Company, Company, Shopping_Mall, Company, Company, Company, Shopping_Mall, Company, Company, Company, Korea_Tourist",19
48,12,3,12.0,2784.4817738098277,193391.55096232987,547781.735185497,"에쓰-오일, 롯데 영등포점, 엘지, IFC몰, 세아, 더현대 서울, 현대백화점, 다우키움, 한강공원, 홍대 레드로드, 홍대문화예술관광특구, 신세계 타임스퀘어점, HMM","Company, Shopping_Mall, Company, Shopping_Mall, Company, Shopping_Mall, Company, Company, Korea_Tourist, Korea_Tourist, Shopping_Mall, Company",20
68,12,3,12.0,3613.322808782767,192616.1732237163,547546.1912176228,"현대 목동점, 롯데 영등포점, 엘지, 타임스퀘어 몰, IFC몰, 세아, 더현대 서울, 현대백화점, HMM, 홍대 레드로드, 홍대문화예술관광특구, 신세계 타임스퀘어점, 다우키움","Shopping_Mall, Shopping_Mall, Company, Shopping_Mall, Shopping_Mall, Company, Shopping_Mall, Company, Company, Korea_Tourist, Shopping_Mall, Company",21
86,12,3,12.0,2748.5820668597685,193043.3783857572,547538.2083153789,"타임스퀘어 몰, 롯데 영등포점, 엘지, IFC몰, 세아, 더현대 서울, 현대백화점, 다우키움, 신세계 타임스퀘어점, 한강공원, 홍대 레드로드, 홍대문화예술관광특구, HMM","Shopping_Mall, Shopping_Mall, Company, Shopping_Mall, Company, Shopping_Mall, Company, Company, Shopping_Mall, Korea_Tourist, Korea_Tourist, Company",22
3,12,2,12.0,3246.292402328004,203273.1789750418,544479.7806873475,"삼성, 롯데 강남점, GS, KCC, 두나무, 두나무, 교보생명보험, 포스코, DB, 영풍, KT, 현대 무역센터점","Company, Shopping_Mall, Company, Company, Company, Company, Company, Company, Company, Company, Company, Shopping_Mall",23
4,12,2,12.0,3156.7986412463024,202853.4808917085,544438.9521873475,"삼성, 롯데 강남점, GS, KCC, 두나무, 두나무, 교보생명보험, 포스코, DB, 영풍, KT, 신세계 강남점","Company, Shopping_Mall, Company, Company, Company, Company, Company, Company, Company, Company, Company, Shopping_Mall",24
13,11,4,11.0,3035.46400046167,206589.73323434667,545813.5593950977,"롯데, 롯데, 롯데 잠실점, 서울스카이 & 롯데월드 & 석촌호수, 롯데 건대스타시티점, 롯데 강남점, 스타필드 코엑스몰, 코엑스, COEX, 현대 무역센터점, DB, 포스코","Company, Company, Shopping_Mall, Korea_Tourist, Shopping_Mall, Shopping_Mall, Shopping_Mall, MICE, Shopping_Mall, Company, Company",25
15,11,4,11.0,2686.891399984994,206859.74512991981,546207.9685051824,"롯데, 롯데, 롯데 잠실점, 서울스카이 & 롯데월드 & 석촌호수, 롯데 건대스타시티점, 쿠팡, 스타필드 코엑스몰, 코엑스, COEX, 현대 무역센터점, DB, 포스코","Company, Company, Shopping_Mall, Korea_Tourist, Shopping_Mall, Company, Shopping_Mall, MICE, Shopping_Mall, Company, Company",26
21,11,4,11.0,3227.3876071824307,204914.95669954194,546998.1311714783,"포스코, DB, 현대 무역센터점, 스타필드 코엑스몰, 코엑스, COEX, 성수동 거리 & 서울숲, 갤러리아 명품관 WEST, 갤러리아 명품관 EAST, 갤러리아 명품관, 쿠팡, 롯데 건대스타시티점","Company, Company, Shopping_Mall, Shopping_Mall, MICE, Korea_Tourist, Shopping_Mall, Shopping_Mall, Shopping_Mall, Company, Shopping_Mall",27
44,11,3,11.0,2687.061012876531,195457.03689687568,549076.86103079,"에쓰-오일, 효성, SM, 현대 신촌점, HDC, HDC, LS, 롯데 서울역점, 한강공원, 홍대 레드로드, 홍대문화예술관광특구, 엘지","Company, Company, Company, Shopping_Mall, Company, Company, Company, Shopping_Mall, Korea_Tourist, Korea_Tourist, Company",28
78,11,3,11.0,3242.824731508452,193132.3941588266,546686.2266707008,"롯데 관악점, 롯데 영등포점, 타임스퀘어 몰, 신세계 타임스퀘어점, 엘지, IFC몰, 현대백화점, 더현대 서울, 한강공원, HMM, 다우키움","Shopping_Mall, Shopping_Mall, Shopping_Mall, Shopping_Mall, Company, Shopping_Mall, Company, Shopping_Mall, Korea_Tourist, Company, Company",29
5,11,2,11.0,3488.4112425037224,203251.03357158293,543916.1683375669,"삼성, 롯데 강남점, GS, KCC, 두나무, 두나무, 교보생명보험, 포스코, DB, 현대, KT","Company, Shopping_Mall, Company, Company, Company, Company, Company, Company, Company, Company, Company",30
6,11,2,11.0,3020.3924488432212,202738.58092118922,542987.264029237,"삼성, 롯데 강남점, GS, KCC, 두나무, 두나무, 교보생명보험, 호반, 현대, KT, 호반","Company, Shopping_Mall, Company, Company, Company, Company, Company, Company, Company, Company, Company",31
39,10,3,10.0,2789.317238694538,196067.05825590374,548607.4045752614,"에쓰-오일, 효성, SM, 국립중앙박물관, LS, HDC, HDC, 롯데 서울역점, 한강공원, 엘지","Company, Company, Company, Korea_Tourist, Company, Company, Company, Shopping_Mall, Korea_Tourist, Company",32
53,8,2,8.0,2538.098586320781,191232.69683897804,543912.3743464642,"넷마블, 현대 가산점, 롯데 영등포점, 롯데 가산팩토리점, 타임스퀘어 몰, 롯데 관악점, 넷마블, 신세계 타임스퀘어점","Company, Shopping_Mall, Shopping_Mall, Shopping_Mall, Shopping_Mall, Shopping_Mall, Company, Shopping_Mall",33
