vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label
0,0,17,김포공항,0,182785.072139,550528.409797,0,40_강서구
0,1,7,고양시,13462,177702.451859,562993.90337,13462,44_고양시
0,2,20,중구,37146,166360.5186,542202.2826,23684,38_중구_1
0,3,3,연수구,47356,168552.301301,532230.29358,10210,37_연수구
0,4,11,화성시,73019,177103.034357,508033.989861,25663,01_화성시
0,5,2,수원시,101511,202968.143734,519982.330533,28492,17_수원시
0,6,8,성남시,115123,209472.627027,531939.244289,13612,16_성남시
0,7,4,강남구,130282,203845.594625,546015.139233,15159,28_강남구
0,8,13,영등포구,141064,193109.112775,547009.672338,10782,04_영등포구
0,9,17,김포공항,151971,182785.072139,550528.409797,10907,40_강서구
