vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,total_score,skip_penalty
0,0,17,김포공항,0,182785.0721,550528.4098,0,40_강서구,16.379039,96794649
0,1,13,영등포구,10907,193109.1128,547009.6723,10907,04_영등포구,18.858989,90282086
0,2,4,강남구,21689,203845.5946,546015.1392,10782,28_강남구,29.155613,63242263
0,3,8,성남시,36848,209472.627,531939.2443,15159,16_성남시,27.157394,68489759
0,4,2,수원시,50460,202968.1437,519982.3305,13612,17_수원시,37.701362,40800389
0,5,11,화성시,78952,177103.0344,508033.9899,28492,01_화성시,21.452705,83470764
0,6,3,연수구,104615,168552.3013,532230.2936,25663,37_연수구,33.380161,52148235
0,7,16,인천공항,122680,153075.6707,541547.3793,18065,36_중구,16.623444,96152820
0,8,20,중구,135981,166360.5186,542202.2826,13301,38_중구_1,15.158458,100000000
0,9,17,김포공항,154395,182785.0721,550528.4098,18414,40_강서구,16.379039,96794649
