NODE,실제 명칭,origin_label,address,x_5186,y_5186,Type,terminal_role,total_score,skip_penalty
1,강화군,41_강화군,인천 강화군 교동면 대룡리 1106-6,135903.2891,576003.5071,VERTIPORT,,45.0,21633536
3,연수구,37_연수구,인천 연수구 송도동 6-10,168552.3013,532230.2936,VERTIPORT,,33.380161,52148235
5,종로구,02_종로구,서울 종로구 세종로 1-68,197957.3106,552571.6892,DEPOT,,28.206461,65734818
6,가평군,30_가평군,경기도 가평군 상면 수목원로 432,231071.3366,571638.9115,VERTIPORT,,27.731556,66981960
7,고양시,44_고양시,경기도 고양시 일산서구 킨텍스로 217-6,177702.4519,562993.9034,VERTIPORT,,27.427037,67781653
10,천안시,27_천안시,충청남도 천안시 서북구 공원로 227,209345.777,466885.005,VERTIPORT,,22.992577,79426927
11,화성시,01_화성시,경기 화성시 만세구 마도면 고모리 474-4,177103.0344,508033.9899,VERTIPORT,,21.452705,83470764
12,중구,09_중구,서울 중구 명동2가 1-17,198800.6447,551624.7304,DEPOT,,19.97536,87350400
13,영등포구,04_영등포구,서울특별시 영등포구 의사당대로 82,193109.1128,547009.6723,VERTIPORT,,18.858989,90282086
14,여주시,50_여주시,경기도 여주시 명품로 360,254160.512,516437.414,VERTIPORT,,17.760209,93167577
15,용산구,13_용산구,서울 용산구 한강로2가 412,197571.821,548121.715,DEPOT,,17.701688,93321259
18,이천시,49_이천시,경기 이천시 호법면 유산리 354-4,239103.3481,516538.9656,VERTIPORT,,16.362585,96837859
19,평택시,24_평택시,경기 평택시 지제동 103-1,206105.8058,490589.9565,VERTIPORT,,16.115202,97487508
