vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,terminal_role,total_score,skip_penalty
0,0,4,강남구,0,203845.5946,546015.1392,0,28_강남구,START,29.155613,63242263
0,1,13,영등포구,10782,193109.1128,547009.6723,10782,04_영등포구,,18.858989,90282086
0,2,17,김포공항,21689,182785.0721,550528.4098,10907,40_강서구,,16.379039,96794649
0,3,7,고양시,35151,177702.4519,562993.9034,13462,44_고양시,,27.427037,67781653
0,4,20,중구,58835,166360.5186,542202.2826,23684,38_중구_1,,15.158458,100000000
0,5,16,인천공항,72136,153075.6707,541547.3793,13301,36_중구,,16.623444,96152820
0,6,3,연수구,90201,168552.3013,532230.2936,18065,37_연수구,,33.380161,52148235
0,7,11,화성시,115864,177103.0344,508033.9899,25663,01_화성시,,21.452705,83470764
0,8,19,평택시,149709,206105.8058,490589.9565,33845,24_평택시,END,16.115202,97487508
