vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,terminal_role,total_score,skip_penalty
0,0,4,강남구,0,203845.5946,546015.1392,0,28_강남구,START,29.155613,63242263
0,1,8,성남시,15159,209472.627,531939.2443,15159,16_성남시,,27.157394,68489759
0,2,2,수원시,28771,202968.1437,519982.3305,13612,17_수원시,,37.701362,40800389
0,3,17,김포공항,65383,182785.0721,550528.4098,36612,40_강서구,,16.379039,96794649
0,4,20,중구,83797,166360.5186,542202.2826,18414,38_중구_1,,15.158458,100000000
0,5,16,인천공항,97098,153075.6707,541547.3793,13301,36_중구,,16.623444,96152820
0,6,9,파주시,133859,173311.9575,572237.4539,36761,43_파주시_1,,24.942799,74305476
0,7,0,파주시,149992,176391.3678,588074.1657,16133,42_파주시,END,52.857143,1000000
