vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,terminal_role,total_score,skip_penalty
0,0,4,강남구,0,203845.5946,546015.1392,0,28_강남구,START,29.155613,63242263
0,1,8,성남시,15159,209472.627,531939.2443,15159,16_성남시,,27.157394,68489759
0,2,2,수원시,28771,202968.1437,519982.3305,13612,17_수원시,,37.701362,40800389
0,3,17,김포공항,65383,182785.0721,550528.4098,36612,40_강서구,,16.379039,96794649
0,4,7,고양시,78845,177702.4519,562993.9034,13462,44_고양시,,27.427037,67781653
0,5,20,중구,102529,166360.5186,542202.2826,23684,38_중구_1,,15.158458,100000000
0,6,16,인천공항,115830,153075.6707,541547.3793,13301,36_중구,,16.623444,96152820
0,7,1,강화군,154328,135903.2891,576003.5071,38498,41_강화군,END,45.0,21633536
