vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,total_score,skip_penalty
0,0,5,종로구,0,197957.3106,552571.6892,0,02_종로구,28.206461,65734818
0,1,4,강남구,8813,203845.5946,546015.1392,8813,28_강남구,29.155613,63242263
0,2,8,성남시,23972,209472.627,531939.2443,15159,16_성남시,27.157394,68489759
0,3,2,수원시,37584,202968.1437,519982.3305,13612,17_수원시,37.701362,40800389
0,4,11,화성시,66076,177103.0344,508033.9899,28492,01_화성시,21.452705,83470764
0,5,3,연수구,91739,168552.3013,532230.2936,25663,37_연수구,33.380161,52148235
0,6,20,중구,101949,166360.5186,542202.2826,10210,38_중구_1,15.158458,100000000
0,7,7,고양시,125633,177702.4519,562993.9034,23684,44_고양시,27.427037,67781653
0,8,17,김포공항,139095,182785.0721,550528.4098,13462,40_강서구,16.379039,96794649
0,9,5,종로구,154404,197957.3106,552571.6892,15309,02_종로구,28.206461,65734818
