vehicle_id,route_order,NODE,실제 명칭,value,x_5186,y_5186,segment_distance_m,origin_label,total_score,skip_penalty
0,0,4,강남구,0,203845.5946,546015.1392,0,28_강남구,29.155613,63242263
0,1,8,성남시,15159,209472.627,531939.2443,15159,16_성남시,27.157394,68489759
0,2,2,수원시,28771,202968.1437,519982.3305,13612,17_수원시,37.701362,40800389
0,3,3,연수구,65301,168552.3013,532230.2936,36530,37_연수구,33.380161,52148235
0,4,16,인천공항,83366,153075.6707,541547.3793,18065,36_중구,16.623444,96152820
0,5,20,중구,96667,166360.5186,542202.2826,13301,38_중구_1,15.158458,100000000
0,6,7,고양시,120351,177702.4519,562993.9034,23684,44_고양시,27.427037,67781653
0,7,17,김포공항,133813,182785.0721,550528.4098,13462,40_강서구,16.379039,96794649
0,8,13,영등포구,144720,193109.1128,547009.6723,10907,04_영등포구,18.858989,90282086
0,9,4,강남구,155502,203845.5946,546015.1392,10782,28_강남구,29.155613,63242263
