순위,점포명,브랜드,지역,주소,4326_X좌표,4326_Y좌표,5186_X좌표,5186_Y좌표
1,신세계 강남점,신세계,서울,서울특별시 서초구 신반포로 176,127.002791160113,37.504214668587,200246.796,544971.901
2,롯데 잠실점,롯데,서울,서울특별시 송파구 올림픽로 240,127.099932755615,37.510703842888,208835.338,545696.804
3,신세계 센텀시티점,신세계,부산,부산광역시 해운대구 센텀남대로 35,129.129518384991,35.168815792882,394014.891,287900.943
4,롯데 본점,롯데,서울,서울특별시 중구 남대문로 81,126.981724527264,37.564721998975,198385.379,551687.623
5,현대 판교점,현대,경기,경기도 성남시 분당구 판교역로146번길 20,127.112083494007,37.392791275585,209925.187,532611.348
6,신세계 대구점,신세계,대구,대구광역시 동구 동부로 149,128.629180122314,35.877939828649,347125.177,365727.182
7,더현대 서울,현대,서울,서울특별시 영등포구 여의대로 108,126.929101749713,37.525189491560,193732.897,547302.198
8,현대 본점,현대,서울,서울특별시 강남구 압구정로 165,127.027468174998,37.527363639947,202427.999,547541.494
9,현대 무역센터점,현대,서울,서울특별시 강남구 테헤란로 517,127.059754066815,37.508613991054,205283.173,545461.843
10,신세계 본점,신세계,서울,서울특별시 중구 소공로 63,126.980969642421,37.560914996326,198318.600,551265.104
11,롯데 부산본점,롯데,부산,부산광역시 부산진구 가야대로 772,129.055479050182,35.156598846618,387296.381,286403.275
12,갤러리아 명품관,갤러리아,서울,서울특별시 강남구 압구정로 343,127.040046478331,37.528467882380,203539.783,547664.451
13,신세계 Art&Science,신세계,대전,대전광역시 유성구 엑스포로 1,127.382172336369,36.375187837637,234294.186,419744.258
14,롯데 인천점,롯데,인천,인천광역시 미추홀구 연남로 35,126.701790287323,37.439821344350,173609.495,537866.858
15,신세계 광주점,신세계,광주,광주광역시 서구 무진대로 932,126.882587402420,35.160584832287,189302.599,284916.804
16,신세계 사우스시티,신세계,경기,경기도 용인시 수지구 포은대로 536,127.108098021547,37.324994160288,209580.881,525086.512
17,신세계 타임스퀘어점,신세계,서울,서울특별시 영등포구 영중로 9,126.905557697246,37.517186514085,191650.811,546415.797
18,갤러리아 타임월드점,갤러리아,대전,대전광역시 서구 대덕대로 211,127.378161689845,36.351951156288,233944.380,417164.349
19,더현대 대구,현대,대구,대구광역시 중구 달구벌대로 2077,128.590618677969,35.866620935563,343662.990,364413.758
20,현대 목동점,현대,서울,서울특별시 양천구 목동동로 257,126.875589227247,37.527163048224,189002.906,547526.149
21,갤러리아 광교점,갤러리아,경기,경기도 수원시 영통구 광교중앙로 124,127.057448701537,37.285244575783,205094.440,520671.037
