순위,점포명,브랜드,지역,주소,4326_X좌표,4326_Y좌표,5186_X좌표,5186_Y좌표
22,AK 수원점,AK플라자,경기,경기도 수원시 팔달구 덕영대로 924,127.000089376213,37.265672357955,200007.928,518497.310
23,현대 중동점,현대,경기,경기도 부천시 원미구 길주로 180,126.762074559861,37.504317206350,178962.533,545009.871
24,롯데 평촌점,롯데,경기,경기도 안양시 동안구 시민대로 180,126.950417730603,37.389978107725,195609.241,532294.387
25,롯데 수원점,롯데,경기,경기도 수원시 권선구 세화로 134,126.997291064323,37.264173209956,199759.710,518330.934
26,롯데 동탄점,롯데,경기,경기도 화성시 동탄역로 160,127.098002700656,37.200675683791,208700.407,511288.346
27,롯데 광복점,롯데,부산,부산광역시 중구 중앙대로 2,129.036697183875,35.098296736066,385717.104,279898.465
28,롯데 창원점,롯데,경남,경상남도 창원시 성산구 중앙대로 124,128.681829435984,35.224567326060,353117.915,293305.379
29,신세계 의정부점,신세계,경기,경기도 의정부시 평화로 525,127.045869391273,37.737988640868,204043.113,570919.302
30,롯데 노원점,롯데,서울,서울특별시 노원구 동일로 1414,127.061623139199,37.655044815113,205437.767,561714.101
31,현대 천호점,현대,서울,서울특별시 강동구 천호대로 1005,127.124435230790,37.538969749853,210997.522,548836.551
32,롯데 김포공항점,롯데,서울,서울특별시 강서구 하늘길 38,126.800769787248,37.565961157340,182398.479,551843.655
33,현대 킨텍스점,현대,경기,경기도 고양시 일산서구 호수로 817,126.751624164140,37.667987722881,178086.536,563177.874
34,현대 충청점,현대,충북,충청북도 청주시 흥덕구 직지대로 308,127.426556277097,36.644858133987,238144.442,449686.077
35,현대 신촌점,현대,서울,서울특별시 서대문구 신촌로 83,126.935840441088,37.556075053215,194330.907,550729.692
36,신세계 천안아산점,신세계,충남,충청남도 천안시 동남구 만남로 43,127.156308628746,36.820732299629,213945.892,469129.951
37,롯데 영등포점,롯데,서울,서울특별시 영등포구 경인로 846,126.907663171284,37.515664794387,191836.780,546246.721
38,갤러리아 센터시티점,갤러리아,충남,충청남도 천안시 서북구 공원로 227,127.104722066674,36.800559469947,209345.777,466885.005
39,AK 분당점,AK플라자,경기,경기도 성남시 분당구 황새울로360번길 42,127.123385803071,37.385012861224,210927.155,531749.310
40,롯데 광주점,롯데,광주,광주광역시 동구 독립로 268,126.912177941753,35.154555344793,191997.988,284245.091
41,롯데 청량리점,롯데,서울,서울특별시 동대문구 왕산로 214,127.048322083778,37.580597913833,204268.305,553450.606
42,신세계 하남점,신세계,경기,경기도 하남시 미사대로 750,127.223738446587,37.545436142219,219772.191,549570.491
43,롯데 전주점,롯데,전북,전북특별자치도 전주시 완산구 온고을로 2,127.121827014976,35.834461153724,211007.286,359683.731
44,현대 미아점,현대,서울,서울특별시 성북구 동소문로 315,127.028734803519,37.608390907236,202537.210,556534.608
45,롯데 울산점,롯데,울산,울산광역시 남구 삼산로 288,129.338834274408,35.538658090340,412118.558,329373.863
46,롯데 강남점,롯데,서울,서울특별시 강남구 도곡로 401,127.054085298411,37.497217575352,204782.694,544196.685
47,롯데 대전점,롯데,대전,대전광역시 서구 계룡로 598,127.389545621514,36.340674919609,234971.267,415917.126
48,롯데 중동점,롯데,경기,경기도 부천시 원미구 길주로 300,126.775306436119,37.502533338091,180132.030,544809.009
49,신세계 김해점,신세계,경남,경상남도 김해시 김해대로 2232,128.872241993632,35.229338568082,370445.540,294145.071
50,롯데 동래점,롯데,부산,부산광역시 동래구 중앙대로 1393,129.077479263312,35.211699679990,389173.546,292559.397
51,롯데 대구점,롯데,대구,대구광역시 북구 태평로 161,128.596118182496,35.875884011782,344142.956,365449.780
52,신세계 마산점,신세계,경남,경상남도 창원시 마산합포구 합포로 251,128.586666363935,35.219977004354,344461.401,292653.455
53,롯데 구리점,롯데,경기,경기도 구리시 경춘로 261,127.143793351587,37.602728226308,212697.555,555915.447
54,롯데 안산점,롯데,경기,경기도 안산시 단원구 고잔1길 12,126.834493541944,37.317993782647,185329.565,524316.950
55,롯데 일산점,롯데,경기,경기도 고양시 일산동구 중앙로 1283,126.772118636682,37.660463750668,179892.675,562338.193
56,롯데 포항점,롯데,경북,경상북도 포항시 북구 학산로 62,129.369475100714,36.049619247558,413525.572,386149.515
57,롯데 분당점,롯데,경기,경기도 성남시 분당구 황새울로200번길 45,127.114314795080,37.378439610989,210124.702,531018.767
58,롯데 미아점,롯데,서울,서울특별시 강북구 도봉로 62,127.030508598948,37.614590195513,202693.608,557222.711
59,롯데 건대스타시티점,롯데,서울,서울특별시 광진구 능동로 92,127.071211732515,37.538995796947,206293.653,548834.549
60,AK 평택점,AK플라자,경기,경기도 평택시 평택로 51,127.085264840526,36.990879914759,207590.473,488004.229
61,갤러리아 진주점,갤러리아,경남,경상남도 진주시 진주대로 1095,128.082314591144,35.196709466765,298567.470,289454.932
62,롯데 센텀시티점,롯데,부산,부산광역시 해운대구 센텀남대로 59,129.131065231078,35.169849836230,394153.382,288018.711
63,AK 원주점,AK플라자,강원,강원특별자치도 원주시 봉화로 1,127.927641352809,37.345674359691,282196.574,527779.867
64,롯데 상인점,롯데,대구,대구광역시 달서구 월배로 232,128.538867344782,35.818800503559,339071.981,359032.369
65,롯데 관악점,롯데,서울,서울특별시 관악구 봉천로 209,126.924976900376,37.490494406481,193365.208,543451.770
